"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"10/07/2023","AQS","320030540","1","1.4","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/10/2023","AQS","320030540","1","0.2","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/11/2023","AQS","320030540","1","0.2","ppb","0","Jerome Mack-NCore","20","83.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/12/2023","AQS","320030540","1","0.1","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/13/2023","AQS","320030540","1","1.2","ppb","1","Jerome Mack-NCore","21","88.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/14/2023","AQS","320030540","1","1.3","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/15/2023","AQS","320030540","1","1.2","ppb","1","Jerome Mack-NCore","22","92.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/16/2023","AQS","320030540","1","2","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/17/2023","AQS","320030540","1","1.6","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/18/2023","AQS","320030540","1","2.7","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/19/2023","AQS","320030540","1","2.7","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/20/2023","AQS","320030540","1","2.3","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/21/2023","AQS","320030540","1","1.7","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/22/2023","AQS","320030540","1","0.7","ppb","0","Jerome Mack-NCore","22","92.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"10/23/2023","AQS","320030540","1","0.9","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
